epoch_time,LH_x,LH_y,LH_z,LK_x,LK_y,LK_z,LA_x,LA_y,LA_z,LT_x,LT_y,LT_z,RH_x,RH_y,RH_z,RK_x,RK_y,RK_z,RA_x,RA_y,RA_z,RT_x,RT_y,RT_z
1686720797.539,-0.1384,-0.03128,2.398,-0.074,0.3677,2.756,-0.01358,0.7324,2.816,0.1483,0.806,2.77,-0.1873,0.0114,2.486,-0.207,0.4773,2.562,-0.3064,0.8804,2.568,-0.2751,0.9385,2.44
1686720797.606,-0.1003,-0.02762,2.312,-0.001148,0.3699,2.748,-0.01354,0.7305,2.809,0.158,0.8174,2.727,-0.1838,0.00826,2.371,-0.2476,0.458,2.486,-0.3047,0.867,2.53,-0.267,0.933,2.44
1686720797.672,-0.09705,-0.01825,2.422,-0.001119,0.3984,2.676,-0.01377,0.749,2.855,0.1554,0.8164,2.732,-0.189,0.0103,2.246,-0.275,0.4634,2.486,-0.3076,0.8613,2.53,-0.286,0.9375,2.486
1686720797.739,-0.09656,-0.01019,2.41,-0.01015,0.4119,2.727,-0.01362,0.7534,2.824,0.1545,0.827,2.719,-0.2246,0.01343,2.361,-0.2905,0.4622,2.48,-0.304,0.8623,2.523,-0.2742,0.938,2.48
1686720797.806,-0.0959,-0.00221,2.395,-0.01602,0.4026,2.703,-0.01358,0.748,2.816,0.1558,0.8306,2.74,-0.2424,0.01617,2.383,-0.2979,0.454,2.451,-0.3083,0.8496,2.535,-0.2764,0.918,2.428
1686720797.873,-0.09717,-0.00218,2.361,-0.02203,0.4185,2.71,-0.01358,0.751,2.816,0.1537,0.8315,2.703,-0.2637,0.01602,2.361,-0.3105,0.453,2.445,-0.3071,0.857,2.549,-0.2898,0.9336,2.428
1686720797.939,-0.0946,-0.00478,2.361,-0.02158,0.404,2.654,-0.0746,0.735,2.777,0.1132,0.8604,2.809,-0.269,0.01573,2.318,-0.3242,0.4634,2.486,-0.3123,0.8315,2.523,-0.2917,0.9316,2.422
1686720798.006,-0.0941,-0.004757,2.35,-0.02734,0.406,2.648,-0.1293,0.7266,2.77,0.02052,0.8813,2.816,-0.2761,0.01556,2.293,-0.3208,0.4492,2.44,-0.3206,0.8403,2.568,-0.2925,0.9336,2.428
1686720798.073,-0.0965,-0.004745,2.344,-0.05884,0.3857,2.498,-0.1868,0.7246,2.764,-0.07336,0.8765,2.732,-0.2944,0.01559,2.297,-0.3264,0.4536,2.463,-0.3174,0.8325,2.543,-0.2917,0.9316,2.422
1686720798.14,-0.1084,-0.00982,2.322,-0.0874,0.3784,2.451,-0.2015,0.6963,2.676,-0.1348,0.8857,2.697,-0.314,0.01303,2.293,-0.3357,0.4512,2.451,-0.3174,0.8184,2.543,-0.2886,0.9385,2.44
1686720798.206,-0.1168,-0.01471,2.287,-0.1141,0.3687,2.389,-0.1887,0.7188,2.662,-0.1335,0.91,2.613,-0.3215,0.002888,2.256,-0.338,0.439,2.428,-0.316,0.814,2.53,-0.283,0.9263,2.416
1686720798.273,-0.1207,-0.01457,2.266,-0.1191,0.402,2.383,-0.1664,0.776,2.588,-0.1169,0.922,2.506,-0.332,0.002914,2.277,-0.344,0.4402,2.434,-0.316,0.817,2.53,-0.287,0.931,2.428
1686720798.34,-0.1284,-0.01677,2.227,-0.11536,0.401,2.361,-0.1498,0.8174,2.549,-0.09235,0.933,2.44,-0.342,-0.00956,2.262,-0.348,0.427,2.404,-0.3145,0.824,2.518,-0.283,0.9263,2.416
1686720798.406,-0.1257,-0.01674,2.223,-0.1099,0.4026,2.355,-0.1389,0.828,2.506,0.184,0.91,2.365,-0.342,-0.00956,2.262,-0.3528,0.436,2.457,-0.3115,0.8296,2.518,-0.2852,0.925,2.41
1686720798.473,-0.126,-0.01186,2.227,-0.1107,0.4236,2.371,-0.1393,0.8413,2.512,0.3105,0.9136,2.506,-0.3445,-0.00956,2.262,-0.3523,0.4285,2.398,-0.3123,0.8315,2.523,-0.2864,0.9287,2.422
1686720798.54,-0.12463,-0.006886,2.203,-0.1078,0.4304,2.365,-0.1376,0.856,2.53,0.3267,0.9106,2.543,-0.3384,-0.006992,2.236,-0.3525,0.4255,2.383,-0.3127,0.84,2.549,-0.287,0.931,2.428
1686720798.606,-0.12463,-0.002033,2.203,-0.1104,0.441,2.365,-0.1345,0.8623,2.523,,,,-0.3354,-0.00449,2.217,-0.3535,0.4263,2.371,-0.312,0.838,2.543,-0.2937,0.9263,2.416
1686720798.673,-0.1236,0.007607,2.184,-0.10864,0.4338,2.328,-0.1345,0.857,2.523,,,,-0.334,-0.002039,2.207,-0.3567,0.4333,2.41,-0.309,0.841,2.543,-0.2942,0.92,2.398
1686720798.74,-0.1244,0.01008,2.197,-0.1104,0.4382,2.365,-0.1333,0.87,2.555,,,,-0.3308,0.0003932,2.203,-0.349,0.4297,2.377,-0.309,0.8438,2.543,-0.291,0.9263,2.416
1686720798.806,-0.118,0.00995,2.17,-0.1107,0.4368,2.371,-0.1261,0.8594,2.523,,,,-0.3306,0.0003955,2.217,-0.3516,0.4329,2.395,-0.3105,0.853,2.555,-0.2864,0.92,2.398
1686720798.873,-0.11346,0.00997,2.176,-0.11017,0.4348,2.361,-0.12305,0.8574,2.518,,,,-0.3296,0.0003974,2.227,-0.3416,0.4294,2.361,-0.307,0.843,2.523,-0.287,0.925,2.404
1686720798.94,-0.1087,0.00997,2.176,-0.1107,0.4368,2.371,-0.1221,0.8643,2.555,,,,-0.3267,0.0003939,2.207,-0.3416,0.4294,2.361,-0.313,0.86,2.574,-0.291,0.9263,2.416
