epoch_time,ls_x,ls_y,ls_z,le_x,le_y,le_z,lw_x,lw_y,lw_z,rs_x,rs_y,rs_z,re_x,re_y,re_z,rw_x,rw_y,rw_z,tr_x,tr_y,tr_z
1686731978.114,0.2175,-0.538,2.48,0.1888,-0.3079,2.492,0.322,-0.1194,3.215,0.2004,-0.427,2.44,0.2964,-0.1469,2.562,0.5283,-0.00795,2.543,0.209,-0.4116,2.451
1686731978.181,0.2051,-0.5366,2.463,0.193,-0.3074,2.492,0.3237,-0.1228,3.215,0.1929,-0.4277,2.445,0.2983,-0.1466,2.562,0.532,-0.005135,2.535,0.1973,-0.4124,2.451
1686731978.247,0.1942,-0.5396,2.463,0.1948,-0.306,2.492,0.3276,-0.12494,3.215,0.1862,-0.439,2.463,0.295,-0.1489,2.562,0.5312,-0.002335,2.53,0.192,-0.4238,2.451
1686731978.314,0.1884,-0.557,2.457,0.1934,-0.3118,2.492,0.3306,-0.12195,3.215,0.1753,-0.4446,2.463,0.2742,-0.1467,2.562,0.5005,-0.002335,2.53,0.1808,-0.4275,2.451
1686731978.381,0.1843,-0.5854,2.475,0.2021,-0.318,2.492,0.4375,-0.1835,3.215,0.1686,-0.4656,2.445,0.219,-0.1632,2.562,0.441,-0.01345,2.523,0.1744,-0.4558,2.451
1686731978.448,0.179,-0.5776,2.475,0.1779,-0.3345,2.492,0.3481,-0.158,3.215,0.1517,-0.517,2.434,0.1137,-0.2236,2.48,0.328,-0.04105,2.512,0.1659,-0.4817,2.451
1686731978.514,0.1718,-0.596,2.475,0.1312,-0.3542,2.492,0.2747,-0.1759,3.215,0.1252,-0.553,2.44,0.02895,-0.2477,2.475,0.2291,-0.0689,2.523,0.1478,-0.5083,2.451
1686731978.581,0.1754,-0.624,2.543,0.1252,-0.3787,2.607,0.273,-0.1833,3.215,0.0742,-0.58,2.44,-0.04443,-0.2898,2.463,0.1461,-0.0922,2.475,0.1237,-0.526,2.451
1686731978.648,0.1691,-0.646,2.574,0.1227,-0.3997,2.613,0.2656,-0.2045,2.953,0.0366,-0.6123,2.44,-0.1016,-0.334,2.469,0.04248,-0.10016,2.469,0.10004,-0.554,2.48
1686731978.715,0.1602,-0.6646,2.613,0.1285,-0.424,2.676,0.2537,-0.2059,2.93,0.007072,-0.645,2.451,-0.1472,-0.3748,2.506,-0.0389,-0.124,2.457,0.07996,-0.586,2.535
1686731978.781,0.1693,-0.676,2.67,0.1438,-0.4404,2.8,0.2607,-0.2032,2.938,-0.04465,-0.6704,2.475,-0.209,-0.4211,2.518,-0.1157,-0.1543,2.422,0.058,-0.599,2.555
